datetime,actual_demand_mw,predicted_demand_mw,model
2017-12-28 10:00:00,41625.0,42799.027,xgboost_regressor
2017-12-28 11:00:00,40756.0,42069.066,xgboost_regressor
2017-12-28 12:00:00,39895.0,40939.426,xgboost_regressor
2017-12-28 13:00:00,39369.0,40064.812,xgboost_regressor
2017-12-28 14:00:00,39132.0,39837.29,xgboost_regressor
2017-12-28 15:00:00,39023.0,39284.07,xgboost_regressor
2017-12-28 16:00:00,39620.0,39346.445,xgboost_regressor
2017-12-28 17:00:00,41556.0,40545.418,xgboost_regressor
2017-12-28 18:00:00,44628.0,42505.965,xgboost_regressor
2017-12-28 19:00:00,44715.0,43640.055,xgboost_regressor
2017-12-28 20:00:00,44411.0,43487.074,xgboost_regressor
2017-12-28 21:00:00,43686.0,42817.062,xgboost_regressor
2017-12-28 22:00:00,42977.0,41919.38,xgboost_regressor
2017-12-28 23:00:00,40722.0,39953.867,xgboost_regressor
2017-12-29 00:00:00,38835.0,38035.598,xgboost_regressor
2017-12-29 01:00:00,37263.0,36165.582,xgboost_regressor
2017-12-29 02:00:00,36393.0,35345.56,xgboost_regressor
2017-12-29 03:00:00,36128.0,35109.77,xgboost_regressor
2017-12-29 04:00:00,36164.0,35238.836,xgboost_regressor
2017-12-29 05:00:00,36408.0,35911.086,xgboost_regressor
2017-12-29 06:00:00,37602.0,36515.16,xgboost_regressor
2017-12-29 07:00:00,39607.0,38523.938,xgboost_regressor
2017-12-29 08:00:00,41148.0,41465.8,xgboost_regressor
2017-12-29 09:00:00,41411.0,42237.89,xgboost_regressor
2017-12-29 10:00:00,40683.0,42143.0,xgboost_regressor
2017-12-29 11:00:00,40156.0,41553.836,xgboost_regressor
2017-12-29 12:00:00,39874.0,41199.383,xgboost_regressor
2017-12-29 13:00:00,39287.0,40165.582,xgboost_regressor
2017-12-29 14:00:00,37977.0,39526.727,xgboost_regressor
2017-12-29 15:00:00,37776.0,38586.504,xgboost_regressor
2017-12-29 16:00:00,38432.0,38017.957,xgboost_regressor
2017-12-29 17:00:00,40134.0,39667.56,xgboost_regressor
2017-12-29 18:00:00,42982.0,41564.24,xgboost_regressor
2017-12-29 19:00:00,42882.0,42182.914,xgboost_regressor
2017-12-29 20:00:00,42555.0,42277.453,xgboost_regressor
2017-12-29 21:00:00,41865.0,41905.062,xgboost_regressor
2017-12-29 22:00:00,40769.0,40268.336,xgboost_regressor
2017-12-29 23:00:00,39088.0,38284.195,xgboost_regressor
2017-12-30 00:00:00,37286.0,36429.293,xgboost_regressor
2017-12-30 01:00:00,35657.0,34902.766,xgboost_regressor
2017-12-30 02:00:00,34540.0,34536.043,xgboost_regressor
2017-12-30 03:00:00,33812.0,34178.457,xgboost_regressor
2017-12-30 04:00:00,33635.0,33837.72,xgboost_regressor
2017-12-30 05:00:00,33975.0,34154.582,xgboost_regressor
2017-12-30 06:00:00,34625.0,34643.17,xgboost_regressor
2017-12-30 07:00:00,35660.0,35588.246,xgboost_regressor
2017-12-30 08:00:00,36743.0,37344.258,xgboost_regressor
2017-12-30 09:00:00,37753.0,38234.53,xgboost_regressor
2017-12-30 10:00:00,38948.0,38917.375,xgboost_regressor
2017-12-30 11:00:00,39344.0,40217.582,xgboost_regressor
2017-12-30 12:00:00,38996.0,40601.555,xgboost_regressor
2017-12-30 13:00:00,38194.0,39709.92,xgboost_regressor
2017-12-30 14:00:00,37309.0,38740.574,xgboost_regressor
2017-12-30 15:00:00,37004.0,37747.926,xgboost_regressor
2017-12-30 16:00:00,36982.0,37427.71,xgboost_regressor
2017-12-30 17:00:00,38164.0,37679.61,xgboost_regressor
2017-12-30 18:00:00,40447.0,38790.79,xgboost_regressor
2017-12-30 19:00:00,40782.0,39543.66,xgboost_regressor
2017-12-30 20:00:00,40506.0,40057.93,xgboost_regressor
2017-12-30 21:00:00,40383.0,39490.723,xgboost_regressor
2017-12-30 22:00:00,39438.0,38808.2,xgboost_regressor
2017-12-30 23:00:00,37874.0,37072.45,xgboost_regressor
2017-12-31 00:00:00,36156.0,35390.203,xgboost_regressor
2017-12-31 01:00:00,35242.0,33731.56,xgboost_regressor
2017-12-31 02:00:00,34410.0,33610.086,xgboost_regressor
2017-12-31 03:00:00,34150.0,33469.492,xgboost_regressor
2017-12-31 04:00:00,34220.0,33448.473,xgboost_regressor
2017-12-31 05:00:00,34627.0,33828.133,xgboost_regressor
2017-12-31 06:00:00,35438.0,34445.426,xgboost_regressor
2017-12-31 07:00:00,36615.0,35734.477,xgboost_regressor
2017-12-31 08:00:00,37612.0,38238.29,xgboost_regressor
2017-12-31 09:00:00,38435.0,38517.2,xgboost_regressor
2017-12-31 10:00:00,38803.0,39447.65,xgboost_regressor
2017-12-31 11:00:00,39375.0,39287.86,xgboost_regressor
2017-12-31 12:00:00,39565.0,40300.13,xgboost_regressor
2017-12-31 13:00:00,39664.0,40466.605,xgboost_regressor
2017-12-31 14:00:00,39888.0,40448.863,xgboost_regressor
2017-12-31 15:00:00,40210.0,40337.176,xgboost_regressor
2017-12-31 16:00:00,40604.0,40779.016,xgboost_regressor
2017-12-31 17:00:00,42013.0,41100.996,xgboost_regressor
2017-12-31 18:00:00,44605.0,42373.418,xgboost_regressor
2017-12-31 19:00:00,44650.0,43391.145,xgboost_regressor
2017-12-31 20:00:00,43948.0,43113.133,xgboost_regressor
2017-12-31 21:00:00,43092.0,42531.863,xgboost_regressor
2017-12-31 22:00:00,42090.0,40960.035,xgboost_regressor
2017-12-31 23:00:00,40972.0,39178.65,xgboost_regressor
2018-01-01 00:00:00,39928.0,38753.066,xgboost_regressor
2018-01-01 01:00:00,38925.0,37901.848,xgboost_regressor
2018-01-01 02:00:00,38298.0,37147.34,xgboost_regressor
2018-01-01 03:00:00,37808.0,36932.734,xgboost_regressor
2018-01-01 04:00:00,37742.0,37135.5,xgboost_regressor
2018-01-01 05:00:00,38049.0,37042.043,xgboost_regressor
2018-01-01 06:00:00,38821.0,37594.574,xgboost_regressor
2018-01-01 07:00:00,39762.0,38629.57,xgboost_regressor
2018-01-01 08:00:00,40154.0,40591.617,xgboost_regressor
2018-01-01 09:00:00,40309.0,40726.188,xgboost_regressor
2018-01-01 10:00:00,39884.0,40528.016,xgboost_regressor
2018-01-01 11:00:00,39544.0,40071.543,xgboost_regressor
2018-01-01 12:00:00,39270.0,39847.64,xgboost_regressor
2018-01-01 13:00:00,38987.0,39539.33,xgboost_regressor
2018-01-01 14:00:00,38726.0,39627.164,xgboost_regressor
2018-01-01 15:00:00,38737.0,39115.84,xgboost_regressor
2018-01-01 16:00:00,39337.0,39390.133,xgboost_regressor
2018-01-01 17:00:00,41213.0,40898.23,xgboost_regressor
2018-01-01 18:00:00,44147.0,42374.035,xgboost_regressor
2018-01-01 19:00:00,44343.0,43591.098,xgboost_regressor
2018-01-01 20:00:00,44284.0,43473.836,xgboost_regressor
2018-01-01 21:00:00,43751.0,43146.906,xgboost_regressor
2018-01-01 22:00:00,42402.0,42134.844,xgboost_regressor
2018-01-01 23:00:00,40164.0,39956.586,xgboost_regressor
2018-01-02 00:00:00,38608.0,38345.562,xgboost_regressor
2018-01-02 01:00:00,37679.0,36713.3,xgboost_regressor
2018-01-02 02:00:00,37160.0,36540.67,xgboost_regressor
2018-01-02 03:00:00,37063.0,36295.09,xgboost_regressor
2018-01-02 04:00:00,37401.0,36670.02,xgboost_regressor
2018-01-02 05:00:00,38255.0,37031.562,xgboost_regressor
2018-01-02 06:00:00,40408.0,38145.543,xgboost_regressor
2018-01-02 07:00:00,43508.0,40311.86,xgboost_regressor
2018-01-02 08:00:00,45012.0,43903.28,xgboost_regressor
2018-01-02 09:00:00,44491.0,44967.586,xgboost_regressor
2018-01-02 10:00:00,43736.0,45020.984,xgboost_regressor
2018-01-02 11:00:00,42747.0,44101.895,xgboost_regressor
2018-01-02 12:00:00,41745.0,42412.527,xgboost_regressor
2018-01-02 13:00:00,40849.0,41289.996,xgboost_regressor
2018-01-02 14:00:00,40240.0,40457.547,xgboost_regressor
2018-01-02 15:00:00,39817.0,40292.984,xgboost_regressor
2018-01-02 16:00:00,40291.0,39986.066,xgboost_regressor
2018-01-02 17:00:00,42219.0,41273.203,xgboost_regressor
2018-01-02 18:00:00,45537.0,43451.902,xgboost_regressor
2018-01-02 19:00:00,46050.0,44492.152,xgboost_regressor
2018-01-02 20:00:00,45787.0,45129.844,xgboost_regressor
2018-01-02 21:00:00,45209.0,45266.133,xgboost_regressor
2018-01-02 22:00:00,43663.0,43577.902,xgboost_regressor
2018-01-02 23:00:00,41581.0,41009.555,xgboost_regressor
2018-01-03 00:00:00,39451.0,38945.473,xgboost_regressor
2018-01-03 01:00:00,38011.0,37237.457,xgboost_regressor
2018-01-03 02:00:00,37534.0,36649.395,xgboost_regressor
2018-01-03 03:00:00,37485.0,36456.33,xgboost_regressor
2018-01-03 04:00:00,37864.0,36693.406,xgboost_regressor
2018-01-03 05:00:00,38960.0,37526.25,xgboost_regressor
2018-01-03 06:00:00,41303.0,38996.797,xgboost_regressor
2018-01-03 07:00:00,44802.0,41345.87,xgboost_regressor
2018-01-03 08:00:00,46432.0,45599.266,xgboost_regressor
2018-01-03 09:00:00,45542.0,46931.44,xgboost_regressor
2018-01-03 10:00:00,43472.0,46120.863,xgboost_regressor
2018-01-03 11:00:00,41762.0,44131.99,xgboost_regressor
2018-01-03 12:00:00,40644.0,41813.758,xgboost_regressor
2018-01-03 13:00:00,39561.0,40977.69,xgboost_regressor
2018-01-03 14:00:00,38709.0,40013.617,xgboost_regressor
2018-01-03 15:00:00,38092.0,39031.77,xgboost_regressor
2018-01-03 16:00:00,38594.0,38678.73,xgboost_regressor
2018-01-03 17:00:00,40576.0,39521.934,xgboost_regressor
2018-01-03 18:00:00,43373.0,41418.867,xgboost_regressor
2018-01-03 19:00:00,43683.0,42690.504,xgboost_regressor
2018-01-03 20:00:00,43308.0,43042.633,xgboost_regressor
2018-01-03 21:00:00,42440.0,42471.34,xgboost_regressor
2018-01-03 22:00:00,40661.0,41248.504,xgboost_regressor
2018-01-03 23:00:00,38207.0,38178.11,xgboost_regressor
2018-01-04 00:00:00,36088.0,35996.36,xgboost_regressor
2018-01-04 01:00:00,34494.0,34536.7,xgboost_regressor
2018-01-04 02:00:00,33875.0,33930.746,xgboost_regressor
2018-01-04 03:00:00,33689.0,33957.625,xgboost_regressor
2018-01-04 04:00:00,34014.0,34271.13,xgboost_regressor
2018-01-04 05:00:00,34950.0,34795.773,xgboost_regressor
2018-01-04 06:00:00,36900.0,36565.938,xgboost_regressor
2018-01-04 07:00:00,39460.0,38536.35,xgboost_regressor
2018-01-04 08:00:00,41243.0,41325.367,xgboost_regressor
2018-01-04 09:00:00,42221.0,42245.953,xgboost_regressor
2018-01-04 10:00:00,43053.0,42973.043,xgboost_regressor
2018-01-04 11:00:00,43789.0,43570.7,xgboost_regressor
2018-01-04 12:00:00,44047.0,44665.664,xgboost_regressor
